0.000000	-0.127688	-0.008126	-0.040936
3.906250E-5	-0.132340	-0.008126	-0.035661
7.812500E-5	-0.124861	-0.014835	-0.026608
0.000117	-0.123153	-0.008965	-0.039677
0.000156	-0.131398	-0.011900	-0.036140
0.000195	-0.123860	-0.007707	-0.041895
0.000234	-0.128865	-0.010941	-0.042195
0.000273	-0.124861	-0.011121	-0.035720
0.000312	-0.125803	-0.012798	-0.040996
0.000352	-0.125097	-0.009324	-0.037219
0.000391	-0.125450	-0.013457	-0.039557
0.000430	-0.124037	-0.015194	-0.038718
0.000469	-0.121916	-0.014295	-0.038358
0.000508	-0.125627	-0.008246	-0.043754
0.000547	-0.123035	-0.015973	-0.038119
0.000586	-0.125980	-0.007886	-0.040756
0.000625	-0.126569	-0.010702	-0.040756
0.000664	-0.120385	-0.011360	-0.043694
0.000703	-0.128218	-0.007347	-0.035900
0.000742	-0.125568	-0.012858	-0.038358
0.000781	-0.126804	-0.010941	-0.035541
0.000820	-0.128924	-0.010881	-0.035541
0.000859	-0.119208	-0.012019	-0.035241
0.000898	-0.121151	-0.008485	-0.039198
0.000937	-0.123860	-0.005970	-0.040037
0.000977	-0.129278	-0.006988	-0.035001
0.001016	-0.128924	-0.014415	-0.039258
0.001055	-0.122211	-0.015134	-0.034581
0.001094	-0.128100	-0.005610	-0.042375
0.001133	-0.126687	-0.012439	-0.038538
0.001172	-0.125097	-0.019567	-0.034162
0.001211	-0.126687	-0.011420	-0.035361
0.001250	-0.125627	-0.014535	-0.036979
0.001289	-0.124508	-0.017290	-0.039797
0.001328	-0.126863	-0.015673	-0.037399
0.001367	-0.124979	-0.014775	-0.043754
0.001406	-0.125627	-0.012978	-0.040457
0.001445	-0.131633	-0.006988	-0.038298
0.001484	-0.127158	-0.008725	-0.044773
0.001523	-0.129278	-0.011540	-0.041176
0.001562	-0.128924	-0.011420	-0.036260
0.001602	-0.124213	-0.012558	-0.032363
0.001641	-0.126392	-0.011121	-0.043214
0.001680	-0.120268	-0.009683	-0.032423
0.001719	-0.126569	-0.008186	-0.034641
0.001758	-0.129101	-0.009803	-0.037999
0.001797	-0.125980	-0.010881	-0.037819
0.001836	-0.124861	-0.010103	-0.035780
0.001875	-0.121328	-0.008785	-0.033322
